5雅典娜澡堂洗澡！气到敌方投降！！！    正恒-许仙   98.7万
李白是我的信仰带粉咯    云图CD-信仰   818
前国服公孙离，订阅分享，免费上车    森林丶涼笙   817
免费带粉，徒弟包永久赛季王者    辰白-南风   817
深夜ktv~    禾宁   817
王者局最秀射手，不服来干。    小艺   816
冲星星    傲辰丶4栋419   813
练英雄随便玩，顺便冲国服典韦    Y先生   811
Hi,摘下星星给你    太阳   809
难搞哦    夜天秀   809
双排上分    攸子【羲和御】   805
夜间档，小姐姐摘星星    虎牙清欢最可爱   802
听说你们想看我直播单排上51？    AONE-苏夜   799
尚义家人们进来    阿晨丶很渣   799
国服养猫人 订阅免费进群    71号   797
小可耐日常带粉 血瓶上车噢    晨曦   797
卑微主播想上分    凹凸静   795
主播超超超厉害的…（才怪）    常乐   793
最强阿珂之花里胡哨    虎牙浩文   793
QQ区上车 血瓶三颗星    北沫   789
万场典韦订阅加分享免费带粉    梦真-潞萌   788
血瓶卡牌子带粉哟    小宇才露指尖上   786
我的鱼塘，她的海王    独醒   785
第一光速阿珂，带粉魔法书包车    虎牙曹仔   783
多一点体谅    久帝-晨乐   783
双排冲荣耀    HG丶安澜   781
冲击国白（29）    奇迹丶友友   781
苦练韩信三十余载    星点丶阿浪   778
大鹏展翅！    南篱   777
看不懂的操作    行川-扰仙   776
国服哪吒单下谢谢老板    Leo-剑痴   775
王这局 边路霸主老夫子    云图CD-鬼烧   774
王者    夜色的雨滴   773
国服阿珂！单排冲二十六星    骚七   763
尚义家人们进来    阿晨丶很渣   760
国服养猫人 订阅免费进群    71号   760
订阅免费上车，上段！    小宇直播中   758
娱乐带粉有来的吗    落叶   758
王这局 边路霸主老夫子    云图CD-鬼烧   756
5000场的钟馗！    萧晨   753
王者局后羿单排大魔王    小怪   753
带粉丝！！上车粉丝牌，    星辰静墨   748
只为誓言不会碎，    誓言   745
苦练露娜梦想带粉    星点丶蝎   744
荣耀局66星国服三修芈月冲榜一    久帝-洒脱   742
李白是我的信仰带粉咯    云图CD-信仰   741
来和小姐姐甜蜜排位呀    TTT-白安   738
来解毒吧 我的小可爱们~    EL-玉女   735
夜间档，小姐姐摘星星    虎牙清欢最可爱   735
小号主玄策专场喜欢主播的点订阅    小鱼儿   733
国服第一廉颇，狄仁杰，虞姬，亚瑟，小乔    血色【小猪】   733
王者局：齐天大圣    不渡她   730
第一光速阿珂，带粉魔法书包车    虎牙曹仔   729
招房管，帮上王者，永久车位    集云-冷叔叔   713
芈月教学~    苏恨歌※   711
高效带粉上王者，    虎牙说谎舜   707
在线带粉    TTT-默默   697
名字都改了 竟然不知道 吃把鸡    墨颜-夜子风   692
小白脸丫 安静的    嘉世-老是小白脸啊   690
无底海浪三十多星吐沙拉！    Dz丶海浪   689
法系梦琪    LOL大白   685
目标50星！国服也行…    浮华～纯爷们   681
一个火箭上王者    帅比、是我   680
什么是声优。一Giao我里Giao。    虎牙鹤山   677
带粉粉    帝天-至尊宝   676
带粉上分高效率    lol_酒客   673
百星选手沫白单排屠沙孙尚香专场    沫白   673
星2一上午掉钻一没地方哭    星探-猫妹妹   673
文能挂机坑队友！武能越塔送人头！    百嘉-洪七公   671
全能野王 手把手教学上个76星    DK-村长   670
免费带粉，国服露娜场均二十杀在线一打九    鑫洋-子东   669
风神:来去无踪云中君    莹老大   667
微信区，找队友配合，有要来的嘛    九命猫   667
巅峰赛1500-1200    晚星   665
多排上分    傲辰-懒懒   661
第一庄周 国服庄周 周瑜 巅峰赛    藤井聖人   657
萌新主播，带粉    久帝-雍和   656
我们是四强！我们是殿军！！！    百星野王杨宸   651
苏灿 ：雅典娜带粉    久帝-苏灿   648
韩信青铜局100连胜虐菜模式开直冲王者。    Dae-熙熙   636
[声优][娱乐主播][孙尚香]    张海绵   634
王者24星单排了。    虎牙菜菜   631
冲星当中，上车的赶紧了    Dae-三歳   630
貂蝉solo！    浅落   630
千场后羿带粉(微信区）    随风   623
卑微女孩，弱鸡在线    琴猫、   620
墨颜-無散的直播间    墨颜-無散   614
仙女带你玩游戏😘    紫霞仙子   614
微信区王者20星上星耀！！！    灵石-超超   614
最强曹操通宵带粉，让你躺到怀疑人生    众娱-初晨   607
第一司马懿 百分百胜率带粉    Dae-二狗子   606
打野节奏学习轻松上王者    超神丶果宝   603
输的最多的主播    浮图   601
血瓶和主播做朋友    傅古   600
虎牙第一后羿，云中君，带粉    洋洋的顺少【久伴洋洋】   599
国服玄策带粉卡牌子上车    LD-小X   598
国边单排上荣耀    知南   597
王者单排摘星星呀    久帝-慕仙   597
请不要叫我射手我是战士,带粉    楚恒-三宝   596
百星全能打野 钻石带粉教学    东辰-倚歌   595
排位 鱼甄姬大鸡 官方安排机器人    夏枯   593
传说对决 阿轲在线送人头    星宇丶不亏哥   588
虎牙第一坑，有点深    虎牙、zero   587
接号    哈哈   585
不快乐也不要皱眉因为不知道谁会爱上你的笑    忧郁女神小佩奇   585
带粉大魔王·嘤嘤嘤    沐白   584
来个人聊天？    星点丶羿風   584
微信区：世界级李白1V9    虎牙-情謎   583
百星野王野王带粉，你确定不来看看嘛    轩缘-孤辰   582
一位置魔法书上王者.国服荆轲带粉.    云图-夏日   577
微信区带粉了带粉了    龙腾赵子龙   576
可达鸭很兴奋，他觉得自己可以一挑五    QST丶可达鸭   570
王者叨叨来嗑个瓜子    逐梦-童姥   566
冲击荣耀。加油    东辰-浪子   565
开始冲荣耀    中天莫凡   564
今天不上王者不下播    格子   564
娜可露露：微信带粉    画魂   561
最强上野！免费带粉丝上分中！    幻灵   559
宇宙第一战略李白    梦途、唯一笑   558
主播带粉了！😘😘😘    虎牙逍遥   558
星耀野王帮粉丝上波分    逐梦-座敷   556
一个挨打的崽    墨染   555
免费带粉    虎牙TV态度   554
无敌打野带粉上王者    小顽皮   552
开始冲榜，三指操作订阅走一走    海豚、嘢鋮   552
李白专场包教包会！    AzZ丶孤白   552
汤姆轰炸王者峡谷教学    亿凡-雪歌   550
微信上号帮打不限段位    One   549
省一露娜带粉三排    星探-小明   548
订阅分享免费带粉    阿飘   546
射手小姐姐q区排位冲星    佛春风   545
国服韩信在线摘星，扣扣区连胜    21709丶宠雪   544
欢乐王者    力少   544
【百星】笙箫带粉（卡牌子上车）    笙箫   543
带粉 上最高段位 这是你没见过的场面    虎牙丶万花筒   541
最皮的输出    浩尘-孤狼   541
白银晋级赛    Dic丶诗酒   538
看我打辅助学技术    闲云鹊南   535
写个标题吸引更多粉丝    洋气   533
晚上好    玖月奇迹   529
安卓Q订阅卡牌上车哦    奈特   527
萌包🎈爱滴魔力转圈圈💕🍃    Xia丶小夏非   527
卡个牌子带你上分    云艺-野欲   526
铂金模式，好好听歌    王者心   526
打野专场 订阅上车 实力带教你制霸野区~    虎牙-允熙   525
虎牙第二羋月    集梦神机营   524
与小姐姐匹配    363   524
Ap火舞秀翻天，一套秒人呼吸间    鼎龙-陌路   523
王者以下全部安排,帮打    虎牙、仙居   522
国服芈月 钻石局带粉中卡牌上车    真君   521
中老年(夜)上分指南    呼呼嘿   521
免费带粉国服吕布、云中君1v5    鑫洋-匪头   519
小姐姐收徒啦，卡牌子可以上车哦    小橘子   519
天秀李白虐王者低星选手    梓云-养猫   514
请多指教    你撩不到我的   514
宫本武藏、无敌的我    无双丶毒枭   512
日常单排    啊胖   511
后羿冲王者    勤奋栋柠茶   511
血瓶带粉上车    洛小洛   510
国服娜可露露 还有什么理由不努力呢 ！    EL-阿宇   509
最近打号，正式回归    YT-绿童   508
第一玄策——订阅上车,    LD-安哲   507
王者局上分教学-带粉    JK   507
日常排位钻石局    阡陌徘徊   505
40冲50荣耀    LD-小鹿   501
畅玩-锦瑟：两个主播合力双排    白府丶小花仙锦瑟   499
。    大熊   499
伽罗独秀ｸﾞｯ!(๑•̀ㅂ•́)و✧    CJ-禾鹿   497
晚上好，听听歌，唠唠嗑呀，有一起玩的不    青陳不沉   496
浪骚小渣 带粉上分啦    渣男在线   494
在线带粉，请上车，滴滴滴    统领-焕白   493
国服在榜马可边路biubiubiu~    AzZ丶落落   491
万场成吉思汗专场在弱也是信仰    虎牙、老毕   490
25-51    Yx9丶益达   490
我是来搞笑的    66139-简丹   489
31-51星边路马可，挑战20连胜上荣耀    云图CD-无心   485
来个长期辅助，免费上分    夏雪   484
无脑上分中    YF丶残城   482
最痞萝莉御姐音，来袭    Xzz丶锦绣   477
暗信专场 帮粉丝王者冲星 云中君    书生   477
国服嫦娥高渐离 日常巅峰赛    FY-小北哥   476
，玩王者咯    梦魇   475
第一云中君冲国服】✔带粉上车    彦艺   475
听闻若邪韩信贼六 订阅卡牌子上车    虎牙若邪   475
冲王者带粉 帮打    虎牙-陌黎   474
订阅带粉今天狂铁专场    Azz丶绪言   474
荆轲刺秦王，在线上分    故余温   469
冲全区第一    勾勾   465
无敌刘备单排上51    久帝-阿力   463
小姐姐带飞可以有订阅吗    是小橙子吖   460
世界级元芳操作！！！红包发不停    BBQ董小贱   459
艺然柒柒    柒柒不太优秀   459
单排玩的是心态    十缘   454
少年郎，你缺个姐姐    林雪   452
李白:Q区圆你王者梦，订阅卡牌子永久车位    虎牙-猫哥   451
无敌老黄冲刺101星    浪神   450
下路打通关！在线求虐    鼎龙-韬   448
微信区，求订阅    小洁   447
已上荣耀 备战城市赛 星耀局锤一锤 ！    黑桃   446
95胜率国服貂蝉诸葛亮妲己，    楚夜话【皮皮大徒弟】   445
国服后裔微信区95胜率带粉    Xzz丶落雨   444
一个挨打的崽    墨染   444
上个51    叶秋   444
今天你笑了吗？    小熊虎牙   438
订阅上车带粉咯辅助你上王者五排中静静的播    一叶知秋   437
苏烈米莱迪专场，当猛男遇上御姐！    虎牙钟小磊   436
今天你上分了吗~    苏盁。   434
天才打野kk    欢迎来到卡卡的直播间   434
王者局巅峰赛精彩对决    玉龍   433
教学上分点播英雄    爱哭的鱼   431
睡不着的杺萌开播两小时    杨杺萌   429
上分中😃😃    寒萧   428
冲分！    迁梓   428
带粉开通粉丝牌子上车    影沫   423
鹤子尘·国服猴子带粉上分    鹤子尘   420
我要上星耀❤    依宝贝ভ   420
千寻：巅峰赛冲鸭    东辰-千寻   418
求订阅    Good   415
韩信李白初级教学    虎牙北鱼   413
CC丶王者点订阅发分享进群免费带粉上分    928丶   413
这个主播竟然。。。。。。。。    久帝-若水   413
在线带粉，有车位    渝疯-小浩浩   412
娱乐局各位要开心哦😏    与座重理久   409
QQ区求带飞    桃子   409
国服99胜率嫦娥露露免费带粉上天入地    音神   408
免费带粉 国服雅典娜玄策带粉五排上王者    贼帅丶凡凡   408
萌星 求订阅求关注    四川小辣椒   408
要上王者吗    Yx9丶天空   408
【声优怪物】铁通网~😭    颜色-洋芋   407
求关注，求血瓶，国服吕布    虎牙小子   406
国服老刘备，5排带粉    龙小备   405
实力混上王者，不上不下播    贱小离   403
大局观打法45-51    啊权   402
欢迎来到秋的直播间    傲辰-秋   402
小月露娜单排粉丝号冲王者    小月可以   401
优秀起来    虎牙王氏猛将   400
小狼中单不给就emmm    虎牙TV小狼   400
玛玛哈哈带粉胜率99%订阅上车    久爱-清风   396
莫吵我！    Jan9   395
新主播求订阅打榜    虎牙张大新   394
真情主播    沉浅   392
全能补位单排41上51    Yx9丶哲哲   391
王昭君：王者局细节操作    名门一栀念   389
每天晚上十点开播打王者    白大少   388
单排直播关羽王者局    TS丶斗帝   387
☜一顿操作猛如猛如虎☞    苍小海   385
万场老刘备 卡牌子上车！    东辰-炮哥   384
哪位好心人送我一个嬴政英雄    国服第一关羽   384
直播守家了解一下呀！    久帝-皓然   382
知心嫦娥在线喷蓝    Sc-清骨   381
省级露娜月下无限连    谢晨豪   381
老亚瑟单排    下一次重点   381
免费带粉-只要你干让我带，那我就干带    PKL小学长   380
备用直播间2    KPL备用2   380
随缘摘星🐶    我是苟涵呀   379
不上星耀咋不下播行吗    AzZ丶昕瑶   379
【通宵车】逢缘 遇见你 认真陪玩系列 ！    壹二   378
今天状态很好 一个订阅上车    邱大帅   377
欢迎带粉 王者星耀钻石    统领-小辉辉   374
国服程咬金，高端局单排上分。    印晨-免费带粉上分   373
世界级最坑的烦心哥哥    中国蓝丶烦心   370
国服韩信打野专场回省先    岚羽   370
国服李白教学-带粉上王者    星梦-乔一轩   366
订阅带粉需要上王者滴滴荣耀选手    心动   365
兴义村级小铠皇打野上分日记    逆天小黄瓜   365
后裔冲王者带粉    俗人   360
今晚冲击王者~！【新主播，求订阅】    子陌大大   360
欢乐王者峡谷    无you   360
国服东皇，坦克周瑜，名刀鬼谷子，亚瑟带飞    孟加拉大老虎   358
小号，随便玩玩！    音悦-夏若   357
帮粉丝上王者    虎牙墨寒   355
67星上76星    修与夏   352
无敌手法冲冲冲    北神   349
国1芈月露露：微信带粉上第25个王者    叶冯   342
在榜国服兰陵王带粉中    宣美丶微晨   342
虎牙第一掉分高手    虎牙tv小帅   341
点订阅免费上车    虎牙丶小菜鸟   341
你的小可爱离你只有0.1km    久帝-美少女   339
有请下四位受害者    苏汉-刘三岁   337
此生入电竞.终身无爱情    仙霖   336
随缘摘星🐶    我是苟涵呀   334
国服99胜率嫦娥露露免费带粉上天入地    音神   334
求订阅！    马踏飞燕   334
国服云中君冲啊！五排搞起来！1血瓶上王者    EL-张大湿   333
性感露娜在线带粉上分！！！    Zero   333
点订阅上车，野区细节教学嘻嘻    YM-小鬼   330
凌心小姐姐QQ微信双区带粉    正恒丶凌心   330
求订阅    小时候   328
通宵带粉上海最强弈星    ?   328
偶遇国服辅助，开始下路冲分    我要玩蛇   326
世界级最坑的烦心哥哥    中国蓝丶烦心   325
一把三尺长剑    子凡   324
东皇小乔王者单排    东皇老弟   324
免费带粉    方哥哥   324
小哥哥通宵嘛    小曦自闭了   323
国服百里，教你甩狙    流浪   322
小鲁班，不要怕    口不能言实属无奈   321
狂暴吕布-：纯输出也能先手    吕布剑圣   321
第二个荣耀20-50    云图-如风   319
新人主播，无敌路人王，在线带粉    虎牙直播十一   319
微信订阅卡牌子，带你一起坑    拉风lafeng   318
帮粉丝上王者    虎牙墨寒   318
百星国服雅典娜冲刺国服干将-带粉狂魔    21709、心照   318
砍王教你最快砍上荣耀    云图DW-文刀   314
玄策，夺命狗子    东辰-逍遥香   314
婷儿永不独行。    虎牙、乖婷儿   313
努力就会有收获，加油    五毒   312
小秃秃杀遍国服安琪拉！礼物走一走！    天津人一小秃秃   312
QQ区黄金小鸡腿”喷喷香    小鸡腿   311
苹果系统王者以下免费带打。。。    虎牙忠华名牌   310
在榜国服诸葛排位66-70冲全区榜一    血色-梦想   309
单排娱乐    轻狂   307
biu    东辰-拉菲   306
fw雅典娜呀    小宝   306
上分秘诀：上分全靠躺    虎牙-小飞哥   306
一个中路玩家    禹佑-星空   305
咳咳    晴天雨神   305
第一野王: 享受视觉盛宴    壹佳-晨东   305
想上分    虎牙v龙大虾   305
初醒    初醒   302
最强鱼辅助    嘉尚丶麦兜   301
李白专场星耀上王者！    虎牙-韩水   301
王者归来    鼎晟-华子   300
荣耀55星承接帮打业务，及上分教学    逐梦-老帮菜   300
带粉回青铜称霸全服    天涯   299
带粉上分：荣耀王者局全能王，国服百星    胖虎   299
村服你女友 很菜别嫌弃    天艺-玲子   299
我来了 你呢    牙牙   299
云中君冲榜带粉    杰仔   298
傲雪为师，王者吕布    阵风1号   295
小号到王者 哈哈    周杰   294
开车啦，不是去幼儿园的车哦    潮流丶子木   294
无敌守约光速橘子在线帮打    刺神、三岁   293
国服露娜：通宵带粉血瓶上车    东辰-国语   293
微信区带粉，卡牌子上车    、、慧慧、、   293
36-51星.五省牌处常驻兄弟.带粉接号    旭日东升-燕南飞   292
冲刺王者中    艺痞   291
战队赛，练英雄    虎牙、七七   291
国服玄策，订阅进群免费带粉    楠辛   289
苍穹老铁，你值得拥有    表妹夫【退】   289
欢迎大家来到香奶昔直播间    楚恒-香奶昔   288
晚上好！一起玩吗    芒果呀   288
世界级绑脚韩信 了解一下呀？    予劫阿   288
杀神白起！大招上身日，人头落地时！    亿咖-陈不羁   288
今晚钻三升星耀    小独孤   287
第三天直播免费带粉上分    虎牙自然哥   287
王者局带粉云中君教学    雨雾-小卓哥   287
虎牙第一甩狙王者小哥哥    小韩寒   286
秀我？不存在滴，我可是法螺😂    浪仙   286
一个靠粉丝带的主播。。    烦啊   285
县级元芳冲市级，玩不好勿喷，谢谢！    林涛   285
第一妲己：单排 最强王者40星    人随落叶叶随风   285
一顿操作猛如虎，一看战绩零杠五    绘梦丶羽影   284
😘    罗百万吖*   284
一个成熟的粉丝，记得订阅    小门牙   283
抱歉，来晚了今天还是努力实现小目标的九儿    九儿   282
看我跃马扬鞭    冰城   282
虎牙第一躺鸡老阿姨    亿升--柚稚   282
带粉    东辰-颜卿   281
太阳系孙悟空免费带粉    血色-初心   280
订阅加Q或者微信带粉,云中君    王焌   278
浪哥干将秀操作。    浪神无敌   275
紫桐-冷心秒人香香宠粉    伊人殇秀媚娘   275
东辰-Sunshine 点点订阅免费带粉    东辰-Sunshine   275
国民老公小牛牛订阅带粉，死亡式带粉三排    牛叔   274
欢迎来到彡彪悍的人生的直播间    彡彪悍的人生   274
加油，特种兵！    小静静   274
虎牙流年～练几把英雄    蓅年似水   273
……    老子比女王还傲娇   273
扣区卡牌子上车    久帝-落西   273
齐天大圣与全能英雄    雾霾   272
订阅加群带粉钻石    Yx9丶挽歌   272
玖娱 帮朋友拖分上30星    大A君   271
小姐姐陪你玩，卡牌上车    勿念思过   271
血瓶可以上车    小奇   271
新人主播 没事直播王者 技术菜不喜勿喷    夕阳醉了   270
宇宙级凯 阿珂.单排上分如人机    云图-凯歌   270
王者农药    无需生病住院治疗中   270
500卡爷+微信两个血瓶上车    鼎晟-雪   269
国服诸葛，请战！！！    捕获少女的心   269
正在带粉上分    李凯瑞   269
上分有人一起吗？    东风袭   269
求订阅    素颜   268
无偿带粉上分    默羽   267
梦之泪伤    太岁   267
喜欢的小哥哥小姐姐，可以进群开黑哦！    初   266
王者农药戒毒高手在此。    久帝-灰灰   266
青莲剑仙    海海   266
新人主播求订阅    睡衣   265
晚上好呀！祝大家玩的开开心心，一起冲分！    清风-七言   265
一起玩呀    玖久九   265
祈求魔法书    久帝-娇琪   265
一时修仙一时爽，一直修仙一直爽。    Anx丶紫夜   264
一时修仙一时爽，一直修仙一直爽。    Anx丶紫夜   264
玄策盛宴，新秀主播    DT-洛十一   264
典韦打野    北辞   264
饿死边缘的小主播    Mr丶磨人精   263
玩王者    A Person's tine♡   262
意识流兰陵王    木大叔   262
最强沙雕打架！    挽夏   261
目前铂金一，目标王者！    虎牙丶八神   260
大炮胡汉三又回来了！    大炮   260
黄金 铂金的有一起的吗！    yy384448467   260
虎牙清风    清风   259
教你躺着上王者    宇宙最帅熊猫侠   259
给粉丝从砖石上王者。无敌打野    久帝-虎牙记忆   259
实力坑队友    虎牙鼎龙-勇锅   259
【宇宙无敌周瑜】15星单排    辰阳   259
好几天没见人了，点个订阅呗    久帝--南怕狼   258
全网最疯大锤（我玩明世隐）    俄罗斯虎妞   258
匹配    我是一颗小虎牙   258
借号    LNG丶浩浩   258
我为你练会了所有的adc你却！！！！       失约   258
上分了，有一起玩的吗    羽未染   257
酒久直播免费带粉    虎牙-酒久   257
双主播双排    仙灵丁淼   255
新主播求订阅    天空   255
万场典韦全国最菜！睡不着玩会儿    相血   255
新赛季 冲战神！    虎牙丿血眼   255
国服第一    信念   254
4000上千万    大唐虎牙平屾   254
新手直播    一叶之舟   253
我是一个么得感情的杀手🙌🙌🙌    彼岸花   253
最强司马懿 求订阅分享关注    浪神余半仙   253
职业刺客    少白   253
最菜主播，安卓换苹果，新号上分中    李布白   252
我伪装的很简单    AzZ丶半梦   252
职业元歌    九歌   252
回来第一天,免费上车.找工会    JA玖戒   251
新人报道 请多关照 万场玄策首秀    虎牙来撩格格   251
云中君带粉冲王者    KT星辰丶白玲珑   251
咸鱼主播求订阅    零度Ym丶雪天   250
蹦迪守高地    kuai播   250
韩信专场免费带粉新主播，求订阅    流年-言情   250
只玩狄仁杰 单排    我是老二   250
两天上荣耀，冲51星！！！无敌混子来了！    LD-郁眠   249
蔡徐坤    我要当剑神   249
新人第一天直播，苦练韩信    虎牙-莽夫   249
带粉，云中君 星耀王者局    虎牙搜晨风   249
小墨单排系列！    我是一颗小虎牙   249
单排王者全能刺客，你选我玩！    毒师   249
一天钻石上王者    星点、王者回梦   249
网络不好只能打匹配咯    小白龙   248
睡不着，来一局看看能不能有睡意    喵喵   248
小号上车    主场达摩   247
最强猴子：单排上王者细节教学！    久帝-小贱   247
钞票枪包永久王者    虎牙搜铁头   246
假大仙任意流    轩缘-二姐夫   246
排位日记    Yang Ye.   245
王者冲刺中    虎牙小辉辉   245
你负责秀我负责扣666    暖东   245
免费打号，免费车位。    开水   243
电子竞技没有感情    安生   241
性感阿珂    虎牙烤牛腿   241
钻石星耀三排 上车滴滴    东辰-平凡   241
目标15星    傲辰-LJH   241
光速上王者教学    丹海-枫尘   240
每天晚上十点开播打王者    白大少   240
日常自闭中……    不问归   240
先上个10星    凌落小星空   240
钻石守门员    芒果-小胖   240
孙尚香---帮粉丝上王者    鹿语-乌鸦   239
青铜战五渣    吾剑与人同在   239
王者荣耀    改变自己   239
帮别人掉分    灭门剑一   239
娱乐战队赛    TK丶醉丿小宝   238
都进来吧    玉寒   238
一时浪一时爽，一直浪一直爽🙈🙈    虎牙逸晨   237
国服阿珂：无形杀人 带粉中    颜色-铭心   237
浙江第一明世隐    白余非   237
打手 鬼的专场胆小勿进    忆寒   237
新手主播求关注    虎牙浪平凡   237
日常王者局翻车    默然无语   236
王者双排上分，凯天秀    A-Fan   236
不是不困就想等等的    刘备备   236
快乐上分 你来吗？    俗鹘   236
没饭吃，路过的大哥大姐们给个饭钱    丁口Ke   236
廉颇上王者之路    酒爷   236
最强兰陵王一秒万伤王者到荣耀    兰刀   236
打打王者局    夙白   235
坑两局队友压压惊！    布朗-丑男   235
全能选手，帮粉丝上分    虎牙吖竟   235
智障不见了    子衿欧巴   234
声优小哥哥在线陪玩订阅上车    路飞哟   234
关注一下主播，欢迎各位    落寞   233
最菜主播，王者冲星    90009000   233
上分中！    苏白   233
司马婉儿. 挑战各路小朋友.放心骚起来    钜鼎-哈皮   233
继续怒力，冲刺排位    丹前龙   232
闪现疾跑送快递。    Speer丶彼岸   232
无休止的杀戮    做妳的猫   232
关注主播免费带上分哦    Dak清歌   232
Qq区免费带水友快来    雾途   232
全能末在线开播来小可爱    行川-全能末   232
装睡的人叫不醒    Jstar-情伤   232
新主播 求订阅    独宠米洛、少帅   232
带粉上王者    虎牙剑神   231
新主播求订阅    ꧁银烛秋光꧂   231
孤独的陌生人，你好。    佛系杀神   231
干    小小杨   230
新人主播求订阅    傲骨   230
一个魔法书永久上车。    麦秀-溪楠   230
国服玄策，狂铁带粉摘星99%胜率    景星丶白光   229
打好自己的位置那么难吗？    我是一颗小虎牙   229
随便玩玩    乐娱-伐木累   229
猴子打野    往后不将就   228
这是我的战争教学    極   228
国服最强猴子    情歌王子   227
单排上王者    Cat、诺言   227
随便玩玩    心里丶有座坟   227
(´･_･`)    落月   226
瑶，神器的梅花鹿    姜科长   226
娱乐主播，不喜勿喷！    少秀   226
新主播，求关注    正佳-小鑫   222
订阅免费带上车    高野   222
骚猴免费带粉。订阅进群。    不良人   221
连跪中    要浪就跟我学游泳   221
甜蜜双排声音超级好听的小姐姐    TTT-鸿崽   221
这个元歌超级帅！    烟城   221
中路排位安琪拉    婳柚   220
金蝉·巅峰赛    AG千殇   220
鬼谷抓人法    往后   220
冒险冒险    九州-念宠   219
君不见云端之上。    玖尘丶   219
带南湖一哥罗一峰上波星    kuki   219
最菜主播，安卓换苹果，新号上分中    李布白   218
节奏掌握者大大怪专场    爱喝可乐的大大怪   218
五排不怕输    星点、梦里人   218
全能末在线开播来小可爱    行川-全能末   218
新主播，点个订阅支持下呗    东辰-金色   217
全能英雄意识教学，免费带粉加公告QQ    王者荣耀吻阳   217
免费上车 可代    柠溪   216
小坑    我是一颗小虎牙   216
新人，求订阅，吃鸡，王者随便挑。免费上车    无敌小浪酒   216
单排上王者    潇洒、走一回   216
网络不怎么好，可能有一些小卡    小风   216
今天天气这么好，让我上王者好不好。    虎牙、九州轩   215
玛玛哈哈带粉胜率99%订阅上车    久爱-清风   215
IG回家会挨骂，点订阅免费上车咯>_<    皇族丨淡然-90999   215
国服第一刺客流鬼谷，疯狂上分！    三 藏   214
努力摘星，加油加油!！！    夏天   214
随缘上⭐，一起吗？点个关注进群⊙∀⊙😌    虎牙小猪彬哥   213
哈喽！    我为亲狂   213
本期推荐单排野路子橘子冲王者教学    韩韩   213
带粉中，可上车    Qz-林韵   213
帮粉丝打号。 一个血瓶上车！国服兰陵王    AzZ丶辉阿   213
小菜鸟开播浪起来，卡牌上车    Kangkang   212
菜鸟直播    血色-小Ki   212
百星主播在线等粉丝加q等你    榆枋   212
搞他    哲浪艾矮唉   212
越塔强杀    叶问   212
就想先上个王者玩玩    虎牙路人王   212
小号单挑    虎牙阿烁   211
只玩射手和辅助    福气   210
虎牙神坑    牛牛   210
世界级阿科墨子教学    虎牙～奶糖   210
国服李白订阅上车    大欣   210
国服顶级马可阿离    遗憾啊   210
对面野区走出来的战魂    下山虎   210
练练英雄    阿挚   208
貂蝉带粉微信冲王者    虎牙蝉蝉   208
李白单排上王者    乐   208
订阅带粉上王者打号    小睿子   207
打野    陌生人皮   207
新主播求房管，包赛季王者    南旬   207
不爱了那就滚，不要说我是舔狗！    铭星丶暖心   207
第一天开播订阅上车    OK-男友   207
带男朋友一起打王者    涵剧先森   206
安琪拉等你来开黑    雨霖子   206
国服后羿,冲击安卓微信区国服。    虎牙-激哥   206
我有复活甲，我怕个卵！    萧萧   206
开播第一天    心有猛虎，细嗅蔷薇   205
新主播求订阅谢谢支持    云图CD-柠一寒   204
骚起来    八极大狂风   204
女打野今日份生气，希望开心打游戏    囚鸟   204
。。    Yx9丶故事   203
娱乐一下    大迷糊   203
坑猴星耀野区专场，冲击王者，十个宝剑带粉    Z.weɪv😍 😍   203
小姐姐钻石上官婉儿    碧落-天马流星拳   202
王者6星换小号打，猴子一秒五棍    虎牙．阿轲＆   201
连胜走一波    呆十七   201
国服后羿双排套路上分    道友   200
巅峰赛1700    亿凡-黑点   199
小j    欢乐小J   199
国服边辅请战    是兮梦呀   198
萌新订阅求破40…qwq    💕除了98k   198
最弱炖山上分    我愿能一生永远陪伴你   198
愉快的一天又开始了    笑忘   198
《新人求订阅＋🎁》稳定战神    great翎蒂   197
雅典娜上王者    虎牙耀虎   197
爱听日语歌的小哥哥    木泽汐汐   197
新人求订阅，钟馗无脑勾    东辰-菜大仙   196
骚气韩信 在线偷家    云艺-洋洋信   196
斯巴拉西    ✘阿旺同学   196
看谁不爽就盘他    头号大混子   196
q区钻石局娱乐一下    南栀倾寒   196
不怕神一样的对手，就怕比猪还坑的队友    风中奇缘   195
订阅上车，一起上分    皇鸠   195
可可的盖世英雄呐？    艺伎可可   195
订阅马上上车    锦鲤   195
星耀局单排女法师    你是我右手边的流年   195
新手直播    稍后等待   195
38星王者拉分冲刺荣耀    老污龟   194
神秀马可波罗订阅带粉    云图-泪绝   194
新人主播，猴子专场，求订阅～    常忆初遇时   194
全能型低手    深夜恶魔   193
第一李白 在线带粉上车    虎牙主播鹏鹏   193
主播有点坑    ABC   192
鬼畜妖狙【百里守约】    960893思夙   192
娱乐主播。在线送福利    小生书仙   192
Q区国服兰陵王，魔法书王者    小朋友   192
晚上好各位大老爷们们    风伤残夜   192
世界级第一坑！！！    虎牙—小旭   191
血瓶带到王者    虎牙小五   191
强势上分可带粉-风友会    未来的模样   191
冷凌回来了    孤独患者冷凌♡   191
新主播 求个订阅甄姬开黑    忘掉一切   190
